Week Ending Date,Metric,Category,Waiting Bands,Count
19/12/2021,Age,19-64 Years,18 To 52 Weeks,1021515
19/12/2021,Age,19-64 Years,Over 52 Weeks,188930
19/12/2021,Age,19-64 Years,Total,3141305
19/12/2021,Age,Over 65 Years,Unknown Clock Start,5575
19/12/2021,Age,Over 65 Years,01 To 18 Weeks,1206100
19/12/2021,Age,Over 65 Years,18 To 52 Weeks,562415
19/12/2021,Age,Over 65 Years,Over 52 Weeks,98325
19/12/2021,Age,Over 65 Years,Total,1872420
19/12/2021,Sex,Female,Unknown Clock Start,9030
19/12/2021,Sex,Female,01 To 18 Weeks,1961980
19/12/2021,Sex,Female,18 To 52 Weeks,973760
19/12/2021,Sex,Female,Over 52 Weeks,167320
19/12/2021,Sex,Female,Total,3112090
19/12/2021,Sex,Male,Unknown Clock Start,6195
19/12/2021,Sex,Male,01 To 18 Weeks,1511545
19/12/2021,Sex,Male,18 To 52 Weeks,742005
19/12/2021,Sex,Male,Over 52 Weeks,136870
19/12/2021,Sex,Male,Total,2396615
26/12/2021,Age,0-18 Years,Unknown Clock Start,380
26/12/2021,Age,0-18 Years,01 To 18 Weeks,395700
26/12/2021,Age,0-18 Years,18 To 52 Weeks,181545
26/12/2021,Age,0-18 Years,Over 52 Weeks,26060
26/12/2021,Age,0-18 Years,Total,603680
26/12/2021,Age,19-64 Years,Unknown Clock Start,4585
26/12/2021,Age,19-64 Years,01 To 18 Weeks,1771210
26/12/2021,Age,19-64 Years,18 To 52 Weeks,963010
26/12/2021,Age,19-64 Years,Over 52 Weeks,176330
26/12/2021,Age,19-64 Years,Total,2915130
26/12/2021,Age,Over 65 Years,Unknown Clock Start,2670
26/12/2021,Age,Over 65 Years,01 To 18 Weeks,1113770
26/12/2021,Age,Over 65 Years,18 To 52 Weeks,535330
26/12/2021,Age,Over 65 Years,Over 52 Weeks,91380
26/12/2021,Age,Over 65 Years,Total,1743145
26/12/2021,Sex,Female,Unknown Clock Start,4130
26/12/2021,Sex,Female,01 To 18 Weeks,1807320
26/12/2021,Sex,Female,18 To 52 Weeks,920865
26/12/2021,Sex,Female,Over 52 Weeks,156180
26/12/2021,Sex,Female,Total,2888500
26/12/2021,Sex,Male,Unknown Clock Start,3500
26/12/2021,Sex,Male,01 To 18 Weeks,1398890
26/12/2021,Sex,Male,18 To 52 Weeks,702175
26/12/2021,Sex,Male,Over 52 Weeks,127875
26/12/2021,Sex,Male,Total,2232440
02/01/2022,Age,0-18 Years,Unknown Clock Start,430
02/01/2022,Age,0-18 Years,01 To 18 Weeks,400325
02/01/2022,Age,0-18 Years,18 To 52 Weeks,187580
02/01/2022,Age,0-18 Years,Over 52 Weeks,24500
02/01/2022,Age,0-18 Years,Total,612835
02/01/2022,Age,19-64 Years,Unknown Clock Start,3890
02/01/2022,Age,19-64 Years,01 To 18 Weeks,1799070
02/01/2022,Age,19-64 Years,18 To 52 Weeks,1010780
02/01/2022,Age,19-64 Years,Over 52 Weeks,175550
02/01/2022,Age,19-64 Years,Total,2989285
02/01/2022,Age,Over 65 Years,Unknown Clock Start,2235
02/01/2022,Age,Over 65 Years,01 To 18 Weeks,1142735
02/01/2022,Age,Over 65 Years,18 To 52 Weeks,569115
02/01/2022,Age,Over 65 Years,Over 52 Weeks,92785
02/01/2022,Age,Over 65 Years,Total,1806875
02/01/2022,Sex,Female,Unknown Clock Start,3540
02/01/2022,Sex,Female,01 To 18 Weeks,1842545
02/01/2022,Sex,Female,18 To 52 Weeks,970915
02/01/2022,Sex,Female,Over 52 Weeks,155375
02/01/2022,Sex,Female,Total,2972375
02/01/2022,Sex,Male,Unknown Clock Start,3055
02/01/2022,Sex,Male,01 To 18 Weeks,1424890
02/01/2022,Sex,Male,18 To 52 Weeks,738430
02/01/2022,Sex,Male,Over 52 Weeks,127610
02/01/2022,Sex,Male,Total,2293990
09/01/2022,Age,0-18 Years,Unknown Clock Start,490
09/01/2022,Age,0-18 Years,01 To 18 Weeks,414985
09/01/2022,Age,0-18 Years,18 To 52 Weeks,198700
09/01/2022,Age,0-18 Years,Over 52 Weeks,27435
09/01/2022,Age,0-18 Years,Total,641615
09/01/2022,Age,19-64 Years,Unknown Clock Start,5015
09/01/2022,Age,19-64 Years,01 To 18 Weeks,1860910
09/01/2022,Age,19-64 Years,18 To 52 Weeks,1069145
09/01/2022,Age,19-64 Years,Over 52 Weeks,189710
09/01/2022,Age,19-64 Years,Total,3124775
09/01/2022,Age,Over 65 Years,Unknown Clock Start,2905
09/01/2022,Age,Over 65 Years,01 To 18 Weeks,1168215
09/01/2022,Age,Over 65 Years,18 To 52 Weeks,597375
09/01/2022,Age,Over 65 Years,Over 52 Weeks,97965
09/01/2022,Age,Over 65 Years,Total,1866460
09/01/2022,Sex,Female,Unknown Clock Start,4570
09/01/2022,Sex,Female,01 To 18 Weeks,1896980
09/01/2022,Sex,Female,18 To 52 Weeks,1024680
09/01/2022,Sex,Female,Over 52 Weeks,167760
09/01/2022,Sex,Female,Total,3093995
09/01/2022,Sex,Male,Unknown Clock Start,3855
09/01/2022,Sex,Male,01 To 18 Weeks,1470885
09/01/2022,Sex,Male,18 To 52 Weeks,781725
09/01/2022,Sex,Male,Over 52 Weeks,137225
09/01/2022,Sex,Male,Total,2393690
16/01/2022,Age,0-18 Years,Unknown Clock Start,515
16/01/2022,Age,0-18 Years,01 To 18 Weeks,422380
16/01/2022,Age,0-18 Years,18 To 52 Weeks,201415
16/01/2022,Age,0-18 Years,Over 52 Weeks,27395
16/01/2022,Age,0-18 Years,Total,651710
16/01/2022,Age,19-64 Years,Unknown Clock Start,5275
16/01/2022,Age,19-64 Years,01 To 18 Weeks,1892435
16/01/2022,Age,19-64 Years,18 To 52 Weeks,1079545
16/01/2022,Age,19-64 Years,Over 52 Weeks,189640
16/01/2022,Age,19-64 Years,Total,3166900
16/01/2022,Age,Over 65 Years,Unknown Clock Start,3180
16/01/2022,Age,Over 65 Years,01 To 18 Weeks,1181595
16/01/2022,Age,Over 65 Years,18 To 52 Weeks,606320
16/01/2022,Age,Over 65 Years,Over 52 Weeks,97105
16/01/2022,Age,Over 65 Years,Total,1888200
16/01/2022,Sex,Female,Unknown Clock Start,4925
16/01/2022,Sex,Female,01 To 18 Weeks,1927300
16/01/2022,Sex,Female,18 To 52 Weeks,1037400
16/01/2022,Sex,Female,Over 52 Weeks,167220
16/01/2022,Sex,Female,Total,3136850
16/01/2022,Sex,Male,Unknown Clock Start,4095
16/01/2022,Sex,Male,01 To 18 Weeks,1493900
16/01/2022,Sex,Male,18 To 52 Weeks,790800
16/01/2022,Sex,Male,Over 52 Weeks,136790
16/01/2022,Sex,Male,Total,2425585
23/01/2022,Age,0-18 Years,Unknown Clock Start,650
23/01/2022,Age,0-18 Years,01 To 18 Weeks,419150
23/01/2022,Age,0-18 Years,18 To 52 Weeks,197805
23/01/2022,Age,0-18 Years,Over 52 Weeks,26445
23/01/2022,Age,0-18 Years,Total,644050
23/01/2022,Age,19-64 Years,Unknown Clock Start,4845
23/01/2022,Age,19-64 Years,01 To 18 Weeks,1848290
23/01/2022,Age,19-64 Years,18 To 52 Weeks,1044975
23/01/2022,Age,19-64 Years,Over 52 Weeks,181505
23/01/2022,Age,19-64 Years,Total,3079615
23/01/2022,Age,Over 65 Years,Unknown Clock Start,2785
23/01/2022,Age,Over 65 Years,01 To 18 Weeks,1155320
23/01/2022,Age,Over 65 Years,18 To 52 Weeks,590535
23/01/2022,Age,Over 65 Years,Over 52 Weeks,92615
23/01/2022,Age,Over 65 Years,Total,1841255
23/01/2022,Sex,Female,Unknown Clock Start,4520
23/01/2022,Sex,Female,01 To 18 Weeks,1884645
23/01/2022,Sex,Female,18 To 52 Weeks,1006895
23/01/2022,Sex,Female,Over 52 Weeks,159380
23/01/2022,Sex,Female,Total,3055440
23/01/2022,Sex,Male,Unknown Clock Start,3895
23/01/2022,Sex,Male,01 To 18 Weeks,1462990
23/01/2022,Sex,Male,18 To 52 Weeks,768070
23/01/2022,Sex,Male,Over 52 Weeks,130960
23/01/2022,Sex,Male,Total,2365915
30/01/2022,Age,0-18 Years,Unknown Clock Start,475
30/01/2022,Age,0-18 Years,01 To 18 Weeks,430520
30/01/2022,Age,0-18 Years,18 To 52 Weeks,206270
30/01/2022,Age,0-18 Years,Over 52 Weeks,27700
30/01/2022,Age,0-18 Years,Total,664970
30/01/2022,Age,19-64 Years,Unknown Clock Start,5105
30/01/2022,Age,19-64 Years,01 To 18 Weeks,1896665
30/01/2022,Age,19-64 Years,18 To 52 Weeks,1108210
30/01/2022,Age,19-64 Years,Over 52 Weeks,196045
30/01/2022,Age,19-64 Years,Total,3206020
30/01/2022,Age,Over 65 Years,Unknown Clock Start,2940
30/01/2022,Age,Over 65 Years,01 To 18 Weeks,1172415
30/01/2022,Age,Over 65 Years,18 To 52 Weeks,618835
